accountIdentifier,principal,tokenIds,numberOfTokens
4a5a2fd834c8876f24769b138ffc2b057d9c1f9035eae101ab9631a6db5d07f0,nixkj-77c5e-q7qik-ewuhi-hp4gs-oggzq-fj2v5-62cdz-amjrc-pz2nz-oqe,516;1525;374;1319,4
f44c18611325ddf715e8a8a6f8e8308f2606b2ebc5ca5102f8a4f97981128450,kwte6-azsaw-mek5y-mkcya-4wkkp-fhb76-wzqtt-lwsxz-amgs4-h2wxy-eqe,992;834;228;2311;1767;1960;1257;43;428;1198;1039;207;210;1300;213;342;1082;1499;1916;701;254;287,22
30ab3ce79014b51aef970bf57c38935c53aed1f8c7ed01d806610494d4ee4729,f2nj3-jtefx-xy4b5-pdfia-he3lj-2nbja-h3d2d-syyro-4piss-5ivqe-sqe,240;881;675;420;2135;1401;94;1055,8
2ec67429c352ef38d841f2f2fe5e268df38e9b598baebd101b115910aefc7108,ap2h3-mdvaz-br5tt-s5tst-nap6q-t6kuv-vlwla-a3xvj-f4a4w-4lonn-sqe,1181;61,2
7307ebf97d37a2fe97b683dd622e87f4e44e28770790d3d4981e7f3e6574c29d,,280,1
a8a1887135ef1d46b291bf3d287cdf4325d8211e92a9b2f8ba5a924d28670605,l4t4l-264ub-ysr3o-2lovb-md65r-p3mpa-kjk7a-hmmvt-ya7fh-ljoyg-cae,1813;982;6;1066,4
11806b260a4fb20d968bd555d927e524cfd09d9e573c02e6462bb55218c3a771,4bxu7-fuuct-otitq-emxde-emjvt-xl46f-scuz6-7yzvy-tlrbz-eeeap-oae,1416;1694,2
fa044fa102f7280e7ce5fd256694fc82777fef24c82e6aed9d1dc5f461000006,rym5r-a6mj7-wfv3g-lypjx-ejpxa-vvill-eq4nc-wvx2v-l2c47-jym4p-wqe,452;376,2
9540e850c81fed3d3e63b544d54ac48966cc0a8364024a82e0abd6ad92b461a6,k3vnz-ukxjv-qvzaz-m6fpu-2sdpt-frpgc-o4rym-teurx-ri24u-clam5-uae,71,1
731959b15e709b1f33165a1ff9869df878b48f1311fb0951661588157f746254,3rtwo-vaa53-j522q-p4v2o-pgxfx-fuv6e-3j4nb-xuo6h-jc6a7-dl5fm-3qe,1702;809;1419;2284;109;846;1775;1936;1329;1106;211;1108;1690;2011;1691;27;668;1951,18
64c819a5edcaf4ac0da726944a448dbce1856900443bdcbae81ca794c1de6f0c,4zfc6-pn6z2-h7sa2-ahazx-vbmo3-rppde-7x57p-wl723-vpfzm-7krxb-5ae,1664;2228;1013;1211;1343;511,6
